22:08:35 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:38 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:41 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:44 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:47 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:50 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:53 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:56 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:59 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:02 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:05 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:08 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:11 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:14 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:17 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:20 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:23 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:26 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:29 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:32 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:35 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:38 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:41 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:44 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:47 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:50 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:53 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:56 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:09:59 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:10:01 | 404 |      1.1292ms | 127.0.0.1 | GET | /assets | Cannot GET /assets
